Step    T(K)    KE(kJ)    PE(kJ)    TotE(kJ)    P(MPa)
  2450    148.609  1.39005e+03 -4.19579e+03 -2.80573e+03  1.80932e+01
  2460    152.038  1.42213e+03 -4.17745e+03 -2.75532e+03  2.02534e+01
  2470    155.545  1.45493e+03 -4.15871e+03 -2.70377e+03  2.24542e+01
  2480    159.204  1.48916e+03 -4.14045e+03 -2.65129e+03  2.46358e+01
  2490    163.078  1.52539e+03 -4.12405e+03 -2.59865e+03  2.67238e+01
  2500    167.213  1.56407e+03 -4.11071e+03 -2.54664e+03  2.86502e+01
  2510    171.654  1.60561e+03 -4.10013e+03 -2.49451e+03  3.03919e+01
  2520    176.542  1.65134e+03 -4.09459e+03 -2.44325e+03  3.18433e+01
  2530    181.904  1.70148e+03 -4.09505e+03 -2.39357e+03  3.29667e+01
  2540    187.233  1.75133e+03 -4.09724e+03 -2.34591e+03  3.39588e+01
  2550    191.803  1.79408e+03 -4.09543e+03 -2.30135e+03  3.50875e+01
  2560    195.197  1.82583e+03 -4.08700e+03 -2.26117e+03  3.64752e+01
  2570    197.336  1.84583e+03 -4.07142e+03 -2.22559e+03  3.81230e+01
  2580    198.319  1.85503e+03 -4.05062e+03 -2.19559e+03  3.99226e+01
  2590    198.487  1.85660e+03 -4.02809e+03 -2.17149e+03  4.16793e+01
  2600    198.481  1.85655e+03 -4.01016e+03 -2.15362e+03  4.30802e+01
  2610    198.835  1.85985e+03 -4.00165e+03 -2.14180e+03  4.38868e+01
  2620    199.398  1.86513e+03 -4.00100e+03 -2.13587e+03  4.41633e+01
  2630    199.486  1.86594e+03 -4.00221e+03 -2.13626e+03  4.41945e+01
  2640    198.619  1.85784e+03 -4.00051e+03 -2.14267e+03  4.42082e+01
  2650    196.835  1.84115e+03 -3.99577e+03 -2.15462e+03  4.42222e+01
  2660    194.411  1.81848e+03 -3.99061e+03 -2.17213e+03  4.41346e+01
  2670    191.524  1.79147e+03 -3.98668e+03 -2.19522e+03  4.38826e+01
  2680    188.248  1.76083e+03 -3.98345e+03 -2.22262e+03  4.34853e+01
  2690    184.738  1.72800e+03 -3.98229e+03 -2.25429e+03  4.28978e+01
  2700    181.252  1.69539e+03 -3.98397e+03 -2.28859e+03  4.20823e+01
  2710    177.918  1.66420e+03 -3.99051e+03 -2.32631e+03  4.09837e+01
  2720    174.636  1.63351e+03 -3.99954e+03 -2.36603e+03  3.97121e+01
  2730    171.282  1.60214e+03 -4.01039e+03 -2.40825e+03  3.83322e+01
  2740    167.765  1.56923e+03 -4.02084e+03 -2.45161e+03  3.69496e+01
  2750    163.974  1.53378e+03 -4.02963e+03 -2.49586e+03  3.56356e+01
  2760    159.909  1.49575e+03 -4.03650e+03 -2.54074e+03  3.44108e+01
  2770    155.742  1.45678e+03 -4.04190e+03 -2.58512e+03  3.32410e+01
  2780    151.721  1.41917e+03 -4.04764e+03 -2.62847e+03  3.20359e+01
  2790    148.080  1.38510e+03 -4.05644e+03 -2.67134e+03  3.06771e+01
  2800    144.953  1.35586e+03 -4.06893e+03 -2.71307e+03  2.91264e+01
  2810    142.270  1.33076e+03 -4.08388e+03 -2.75312e+03  2.74341e+01
  2820    139.833  1.30796e+03 -4.10020e+03 -2.79224e+03  2.56690e+01
