Step    T(K)    KE(kJ)    PE(kJ)    TotE(kJ)    P(MPa)
  1660      2.196  9.91405e+00 -4.52464e-01  9.46158e+00  1.69233e-03
  1670      1.808  8.16465e+00 -4.53371e-01  7.71128e+00  1.37160e-03
  1680      1.504  6.79125e+00 -4.54204e-01  6.33705e+00  1.11977e-03
  1690      1.264  5.70548e+00 -4.54971e-01  5.25051e+00  9.20655e-04
  1700      1.072  4.84137e+00 -4.55682e-01  4.38569e+00  7.62159e-04
  1710      0.919  4.14937e+00 -4.56346e-01  3.69302e+00  6.35205e-04
  1720      0.796  3.59198e+00 -4.56966e-01  3.13502e+00  5.32925e-04
  1730      0.696  3.14071e+00 -4.57553e-01  2.68316e+00  4.50094e-04
  1740      0.614  2.77374e+00 -4.58109e-01  2.31563e+00  3.82713e-04
  1750      0.548  2.47427e+00 -4.58638e-01  2.01563e+00  3.27707e-04
  1760      0.494  2.22932e+00 -4.59146e-01  1.77017e+00  2.82695e-04
  1770      0.449  2.02882e+00 -4.59635e-01  1.56919e+00  2.45832e-04
  1780      0.413  1.86493e+00 -4.60108e-01  1.40482e+00  2.15678e-04
  1790      0.384  1.73152e+00 -4.60569e-01  1.27095e+00  1.91112e-04
  1800      0.360  1.62383e+00 -4.61021e-01  1.16281e+00  1.71260e-04
  1810      0.341  1.53815e+00 -4.61466e-01  1.07668e+00  1.55443e-04
  1820      0.326  1.47165e+00 -4.61906e-01  1.00974e+00  1.43141e-04
  1830      0.315  1.42219e+00 -4.62343e-01  9.59843e-01  1.33960e-04
  1840      0.307  1.38821e+00 -4.62780e-01  9.25429e-01  1.27617e-04
  1850      0.303  1.36867e+00 -4.63218e-01  9.05453e-01  1.23919e-04
  1860      0.302  1.36298e+00 -4.63660e-01  8.99316e-01  1.22755e-04
  1870      0.304  1.37095e+00 -4.64109e-01  9.06842e-01  1.24094e-04
  1880      0.309  1.39283e+00 -4.64566e-01  9.28268e-01  1.27979e-04
  1890      0.317  1.42929e+00 -4.65035e-01  9.64254e-01  1.34530e-04
  1900      0.328  1.48143e+00 -4.65516e-01  1.01592e+00  1.43952e-04
  1910      0.344  1.55091e+00 -4.66015e-01  1.08489e+00  1.56544e-04
  1920      0.363  1.63995e+00 -4.66532e-01  1.17342e+00  1.72715e-04
  1930      0.388  1.75151e+00 -4.67073e-01  1.28444e+00  1.93006e-04
  1940      0.419  1.88944e+00 -4.67639e-01  1.42180e+00  2.18121e-04
  1950      0.456  2.05870e+00 -4.68236e-01  1.59046e+00  2.48965e-04
  1960      0.502  2.26562e+00 -4.68867e-01  1.79675e+00  2.86701e-04
  1970      0.558  2.51835e+00 -4.69538e-01  2.04881e+00  3.32818e-04
  1980      0.626  2.82734e+00 -4.70255e-01  2.35709e+00  3.89230e-04
  1990      0.710  3.20607e+00 -4.71024e-01  2.73504e+00  4.58403e-04
  2000      0.813  3.67196e+00 -4.71853e-01  3.20011e+00  5.43529e-04
  2010      0.941  4.24769e+00 -4.72752e-01  3.77494e+00  6.48756e-04
  2020      1.099  4.96289e+00 -4.73729e-01  4.48916e+00  7.79512e-04
  2030      1.297  5.85653e+00 -4.74798e-01  5.38173e+00  9.42936e-04
  2040      1.546  6.98021e+00 -4.75972e-01  6.50424e+00  1.14847e-03
  2050      1.861  8.40263e+00 -4.77271e-01  7.92536e+00  1.40870e-03
  2060      2.263  1.02159e+01 -4.78711e-01  9.73716e+00  1.74049e-03
  2070      2.778  1.25442e+01 -4.80317e-01  1.20639e+01  2.16660e-03
  2080      3.446  1.55566e+01 -4.82115e-01  1.50745e+01  2.71797e-03
  2090      4.316  1.94839e+01 -4.84143e-01  1.89997e+01  3.43689e-03
  2100      5.459  2.46443e+01 -4.86439e-01  2.41578e+01  4.38163e-03
  2110      6.972  3.14789e+01 -4.89056e-01  3.09898e+01  5.63301e-03
  2120      8.994  4.06036e+01 -4.92053e-01  4.01115e+01  7.30380e-03
  2130     11.714  5.28836e+01 -4.95508e-01  5.23881e+01  9.55253e-03
  2140     15.403  6.95426e+01 -4.99514e-01  6.90431e+01  1.26033e-02
  2150     20.449  9.23208e+01 -5.04193e-01  9.18166e+01  1.67749e-02
  2160     27.401  1.23707e+02 -5.09691e-01  1.23197e+02  2.25233e-02
  2170     37.051  1.67276e+02 -5.16199e-01  1.66760e+02  3.05032e-02
  2180     50.541  2.28179e+02 -5.23961e-01  2.27655e+02  4.16585e-02
  2190     69.517  3.13853e+02 -5.33295e-01  3.13320e+02  5.73511e-02
  2200     96.354  4.35017e+02 -5.44628e-01  4.34472e+02  7.95448e-02
  2210    134.459  6.07047e+02 -5.58523e-01  6.06489e+02  1.11056e-01
  2220    188.662  8.51763e+02 -5.75752e-01  8.51188e+02  1.55883e-01
  2230    265.686  1.19951e+03 -5.97399e-01  1.19891e+03  2.19583e-01
  2240    374.554  1.69102e+03 -6.25007e-01  1.69039e+03  3.09619e-01
  2250    526.662  2.37775e+03 -6.60818e-01  2.37709e+03  4.35416e-01
  2260    734.858  3.31770e+03 -7.08171e-01  3.31699e+03  6.07600e-01
  2270   1010.419  4.56179e+03 -7.72099e-01  4.56102e+03  8.35496e-01
  2280   1356.539  6.12444e+03 -8.60085e-01  6.12358e+03  1.12174e+00
  2290   1757.937  7.93665e+03 -9.82754e-01  7.93567e+03  1.45371e+00
  2300   2169.990  9.79697e+03 -1.15325e+00  9.79582e+03  1.79447e+00
  2310   2517.236  1.13647e+04 -1.38304e+00  1.13633e+04  2.08162e+00
  2320   2713.203  1.22494e+04 -1.67207e+00  1.22478e+04  2.24364e+00
  2330   2700.028  1.21900e+04 -1.99777e+00  1.21880e+04  2.23268e+00
  2340   2481.800  1.12047e+04 -2.31707e+00  1.12024e+04  2.05214e+00
  2350   2122.055  9.58056e+03 -2.58793e+00  9.57797e+03  1.75456e+00
  2360   1707.800  7.71030e+03 -2.79088e+00  7.70751e+03  1.41191e+00
  2370   1311.343  5.92039e+03 -2.93046e+00  5.91746e+03  1.08399e+00
  2380    973.385  4.39459e+03 -3.02264e+00  4.39157e+03  8.04447e-01
  2390    706.351  3.18900e+03 -3.08388e+00  3.18592e+03  5.83566e-01
  2400    505.588  2.28261e+03 -3.12658e+00  2.27948e+03  4.17497e-01
  2410    359.365  1.62244e+03 -3.15878e+00  1.61929e+03  2.96539e-01
  2420    254.900  1.15081e+03 -3.18522e+00  1.14762e+03  2.10120e-01
  2430    181.061  8.17447e+02 -3.20853e+00  8.14239e+02  1.49035e-01
  2440    129.117  5.82933e+02 -3.23005e+00  5.79703e+02  1.06061e-01
  2450     92.599  4.18063e+02 -3.25044e+00  4.14812e+02  7.58467e-02
  2460     66.870  3.01901e+02 -3.27002e+00  2.98630e+02  5.45575e-02
  2470     48.667  2.19717e+02 -3.28892e+00  2.16428e+02  3.94945e-02
  2480     35.717  1.61254e+02 -3.30724e+00  1.57947e+02  2.87780e-02
  2490     26.446  1.19398e+02 -3.32504e+00  1.16073e+02  2.11047e-02
  2500     19.762  8.92202e+01 -3.34239e+00  8.58778e+01  1.55715e-02
  2510     14.906  6.72991e+01 -3.35935e+00  6.39398e+01  1.15516e-02
  2520     11.352  5.12523e+01 -3.37599e+00  4.78763e+01  8.60822e-03
  2530      8.730  3.94126e+01 -3.39239e+00  3.60202e+01  6.43600e-03
  2540      6.779  3.06070e+01 -3.40863e+00  2.71984e+01  4.81995e-03
  2550      5.317  2.40055e+01 -3.42478e+00  2.05807e+01  3.60794e-03
  2560      4.212  1.90169e+01 -3.44092e+00  1.55760e+01  2.69162e-03
  2570      3.371  1.52174e+01 -3.45711e+00  1.17603e+01  1.99331e-03
  2580      2.725  1.23011e+01 -3.47342e+00  8.82770e+00  1.45696e-03
  2590      2.225  1.00458e+01 -3.48993e+00  6.55584e+00  1.04182e-03
  2600      1.836  8.28875e+00 -3.50668e+00  4.78207e+00  7.18082e-04
  2610      1.531  6.91032e+00 -3.52375e+00  3.38657e+00  4.63800e-04
  2620      1.289  5.82167e+00 -3.54120e+00  2.28047e+00  2.62694e-04
  2630      1.098  4.95652e+00 -3.55909e+00  1.39743e+00  1.02615e-04
  2640      0.945  4.26509e+00 -3.57747e+00  6.87616e-01 -2.55573e-05
  2650      0.822  3.70975e+00 -3.59641e+00  1.13338e-01 -1.28717e-04
  2660      0.722  3.26190e+00 -3.61597e+00 -3.54069e-01 -2.12101e-04
  2670      0.642  2.89968e+00 -3.63621e+00 -7.36529e-01 -2.79708e-04
  2680      0.577  2.60631e+00 -3.65720e+00 -1.05089e+00 -3.34603e-04
  2690      0.525  2.36884e+00 -3.67901e+00 -1.31017e+00 -3.79144e-04
  2700      0.482  2.17728e+00 -3.70170e+00 -1.52442e+00 -4.15146e-04
  2710      0.448  2.02389e+00 -3.72536e+00 -1.70147e+00 -4.44004e-04
  2720      0.421  1.90270e+00 -3.75005e+00 -1.84735e+00 -4.66784e-04
  2730      0.401  1.80915e+00 -3.77586e+00 -1.96672e+00 -4.84290e-04
  2740      0.385  1.73976e+00 -3.80288e+00 -2.06312e+00 -4.97114e-04
  2750      0.375  1.69198e+00 -3.83118e+00 -2.13920e+00 -5.05670e-04
  2760      0.369  1.66403e+00 -3.86086e+00 -2.19682e+00 -5.10221e-04
  2770      0.367  1.65478e+00 -3.89200e+00 -2.23722e+00 -5.10896e-04
  2780      0.368  1.66367e+00 -3.92470e+00 -2.26103e+00 -5.07693e-04
  2790      0.374  1.69071e+00 -3.95904e+00 -2.26833e+00 -5.00487e-04
  2800      0.385  1.73643e+00 -3.99509e+00 -2.25866e+00 -4.89026e-04
  2810      0.399  1.80192e+00 -4.03291e+00 -2.23099e+00 -4.72914e-04
  2820      0.418  1.88884e+00 -4.07253e+00 -2.18369e+00 -4.51598e-04
  2830      0.443  1.99952e+00 -4.11395e+00 -2.11443e+00 -4.24341e-04
  2840      0.473  2.13700e+00 -4.15709e+00 -2.02009e+00 -3.90182e-04
  2850      0.511  2.30519e+00 -4.20179e+00 -1.89660e+00 -3.47893e-04
  2860      0.556  2.50902e+00 -4.24777e+00 -1.73875e+00 -2.95906e-04
  2870      0.610  2.75464e+00 -4.29454e+00 -1.53990e+00 -2.32236e-04
  2880      0.675  3.04965e+00 -4.34134e+00 -1.29169e+00 -1.54364e-04
  2890      0.754  3.40344e+00 -4.38702e+00 -9.83574e-01 -5.90920e-05
  2900      0.848  3.82755e+00 -4.42985e+00 -6.02301e-01  5.76416e-05
  2910      0.960  4.33609e+00 -4.46730e+00 -1.31213e-01  2.01013e-04
  2920      1.096  4.94630e+00 -4.49569e+00  4.50612e-01  3.77624e-04
  2930      1.258  5.67917e+00 -4.50972e+00  1.16945e+00  5.95902e-04
  2940      1.453  6.56015e+00 -4.50188e+00  2.05827e+00  8.66594e-04
  2950      1.688  7.62007e+00 -4.46164e+00  3.15843e+00  1.20335e-03
  2960      1.971  8.89641e+00 -4.37465e+00  4.52176e+00  1.62337e-03
  2970      2.311  1.04352e+01 -4.22194e+00  6.21322e+00  2.14800e-03
  2980      2.723  1.22944e+01 -3.97999e+00  8.31440e+00  2.80299e-03
  2990      3.223  1.45510e+01 -3.62252e+00  1.09285e+01  3.61816e-03
  3000      3.835  1.73142e+01 -3.12627e+00  1.41879e+01  4.62563e-03
  3010      4.596  2.07504e+01 -2.48292e+00  1.82674e+01  5.85627e-03
  3020      5.565  2.51247e+01 -1.71839e+00  2.34063e+01  7.33505e-03
  3030      6.836  3.08614e+01 -9.14845e-01  2.99466e+01  9.07859e-03
  3040      8.553  3.86145e+01 -2.21216e-01  3.83933e+01  1.11029e-02
  3050     10.927  4.93333e+01  1.68202e-01  4.95015e+01  1.34509e-02
  3060     14.245  6.43123e+01  7.84429e-02  6.43908e+01  1.62448e-02
  3070     18.880  8.52366e+01 -5.51901e-01  8.46847e+01  1.97563e-02
  3080     25.310  1.14267e+02 -1.58401e+00  1.12683e+02  2.44793e-02
  3090     34.156  1.54206e+02 -2.62525e+00  1.51581e+02  3.11959e-02
  3100     46.226  2.08697e+02 -2.93492e+00  2.05762e+02  4.10680e-02
  3110     62.500  2.82171e+02 -1.03610e+00  2.81135e+02  5.58430e-02
  3120     84.046  3.79449e+02  5.93079e+00  3.85380e+02  7.80966e-02
  3130    112.913  5.09776e+02  1.86894e+01  5.28466e+02  1.09782e-01
  3140    156.132  7.04898e+02  2.19298e+01  7.26828e+02  1.47521e-01
  3150    221.440  9.99746e+02  9.92477e+00  1.00967e+03  1.94364e-01
  3160    310.526  1.40195e+03  1.01923e+01  1.41214e+03  2.68130e-01
  3170    426.307  1.92467e+03  4.46823e+01  1.96935e+03  3.84065e-01
  3180    592.300  2.67409e+03  5.12650e+01  2.72535e+03  5.24747e-01
  3190    829.822  3.74644e+03  7.29245e+00  3.75374e+03  6.94395e-01
  3200   1129.226  5.09818e+03 -4.45727e+00  5.09372e+03  9.33968e-01
  3210   1490.534  6.72939e+03 -5.36631e+00  6.72403e+03  1.23183e+00
  3220   1890.327  8.53436e+03 -5.13475e+00  8.52922e+03  1.56281e+00
  3230   2273.583  1.02647e+04 -4.39159e+00  1.02603e+04  1.88082e+00
  3240   2560.941  1.15620e+04 -2.65772e+00  1.15594e+04  2.12025e+00
  3250   2676.721  1.20847e+04 -1.63487e+00  1.20831e+04  2.21715e+00
  3260   2586.762  1.16786e+04 -3.32477e+00  1.16753e+04  2.14187e+00
  3270   2317.752  1.04641e+04 -5.87282e+00  1.04582e+04  1.91765e+00
  3280   1942.087  8.76804e+03 -7.37508e+00  8.76067e+03  1.60574e+00
  3290   1540.611  6.95548e+03 -7.89078e+00  6.94759e+03  1.27313e+00
  3300   1172.454  5.29334e+03 -7.96161e+00  5.28538e+03  9.68459e-01
  3310    866.535  3.91219e+03 -7.91409e+00  3.90428e+03  7.15423e-01
  3320    628.341  2.83680e+03 -7.87519e+00  2.82893e+03  5.18454e-01
  3330    450.596  2.03433e+03 -7.87822e+00  2.02645e+03  3.71488e-01
  3340    321.481  1.45141e+03 -7.92107e+00  1.44349e+03  2.64735e-01
  3350    229.185  1.03471e+03 -7.99084e+00  1.02672e+03  1.88423e-01
  3360    163.768  7.39372e+02 -8.07390e+00  7.31298e+02  1.34336e-01
